Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children
Navajo,Estsanatlehi,God,Changing Woman,Navajo Nation,Female,Deity,"Creation, Fertility","Corn, Earth",,Fertility,,,,,
Sao,Esu,God,"God of trickery, communication, and crossroads",Crossroads,Male,Trickster and Communicative,"Trickery, communication",Crossroads,Black,"Communication, trickery, balance",,Olodumare,,,Various trickster and communication deities
Maasai,Esuaki,God,Moon Goddess,Maasai Regions,Female,Goddess,Moon,"Moon, Night",Silver,Moon,,,,,
Vodou,Ezili Dantor,God,"Mother of Children, Protector of Women","Haiti, New Orleans",Female,"Protective Mother, Warrior","Motherhood, Women's Rights","Black Madonna, Sword","Red, Blue","Motherhood, Feminism",Married,Bondye,,Baron Samedi,"Many, including Ghede"
Tahitian,Fa'ahotu,God,Goddess of fire and volcanoes,Volcanoes,Female,Passionate and Destructive,"Fire, volcanoes","Lava, flames",Red,"Transformation, destruction",,,,,Various volcanic beings
Tahitian,Fa'ahu,God,God of wild and uncultivated food,Wilderness,Male,Wild and Untamed,Wild foods,Wild plants,Various,Appreciation of wilderness,,,,,Various wilderness beings
Scottish/Irish,Fand,Spirit,Fairy Queen and Lover of Manannan Mac Lir,Ireland,Female,Enchanting and Capricious,"Love, Enchantment","Sea, Pearls","Blue, Silver","Love, Enchantment",Married,,,Manannan Mac Lir,
Tahitian,Fatu-ti'i,God,God of fertility and procreation,Fertility,Male,Fertile and Generative,"Fertility, procreation",Fertility symbols,Various,"Fertility, generative power",,,,,Various fertility beings
Roman,Fauna,God,Goddess of Fertility and Women,Italy,Female,Fertile and Protective,"Fertility, women",Horn of Plenty,Green,"Fertility, protection",,,,,
Roman,Faunus,God,God of Nature and Forests,Italy,Male,Wild and Nature-loving,"Nature, forests",Panpipes,Green,"Nature, wilderness",,,,,
Scottish/Irish,Fionn Mac Cumhaill,Human,Heroic Leader and Warrior,Ireland,Male,Heroic and Wise,"Heroism, Wisdom","Spear, Hound","Green, Red","Heroism, Wisdom",Married,Cumhaill,,Sadb,"Oisin, Oscar, and others"
Norse,Forseti,God,God of Justice and Mediation,Asgard,Male,Just and Peaceful,"Justice, Mediation","Throne, Law Tablet","White, Gold","Justice, Peace",,Baldr,,,
Roman,Fortuna,God,Goddess of Luck and Fortune,Rome,Female,Fickle and Fortune-bringing,"Luck, fortune",Cornucopia,Yellow,"Luck, Fortune, Chance",,Jupiter,,,Various deities
Zoroastrian,Fravashi,Spirit,Guardian spirits of individuals,-,-,Deity,Protection,Wings,-,Protection,-,-,-,-,Various deities
Norse ,Freya,God,"Goddess of love, beauty, and fertility",Northern Europe,Female,Deity,"Love, Beauty, Fertility","Cats, Falcon",Gold,"Love, Beauty, Fertility",-,Njord,-,Various deities,Various deities
Norse,Freyja,God,Goddess of love and fertility,Asgard,Female,Loving and passionate,Love and fertility,"Falcon, amber","Amber, gold","Love, fertility",Married,Nerthus,Njord,"Odin, Óðr","Many, including Hnoss, Gersemi,"
Norse,Freyr,God,God of Prosperity and Fertility,Asgard,Male,Generous and Prosperous,"Prosperity, Fertility","Boar, Ship","Green, Gold","Prosperity, Fertility",Married,Njord,,Skadi,
Norse,Frigg,God,Goddess of Marriage and Motherhood,Asgard,Female,Caring and Maternal,"Marriage, Motherhood","Distaff, Spinning Wheel","Blue, White","Marriage, Motherhood",,Fjorgyn,Odin,,"Baldr, Höðr, Víðarr"
Chinese,Fu Xi,God,Creator of Humanity,Earth,Male,Wise and Creative,"Creation, Wisdom","Serpent, Scales",Multicolored,"Wisdom, Creation",,,,,
Etruscan,Fufluns,God,God of Wine and Vegetation,Etruria,Male,Joyful and Abundant,"Wine, vegetation",Grapes,Green,"Joy, abundance",,Uni,Tinia,,
Shinto,Fujin,God,God of Wind,Japan,Male,Dynamic and Swift,"Wind, Air","Bag of Wind, Wind Fan",Blue,"Swiftness, Change",,,,,"Many, including Raijin"
Baltic,Gabija,God,Goddess of the hearth and home,Earth,Female,Nurturing and Protective,"Hearth, home","Fire, hearth","Red, brown","Home, protection",,Baltic,Baltic,,
Jewish,Gabriel,Spirit,Archangel of Revelation,Heaven,Male,Messenger and Herald,"Communication, Revelation, Guidance","Trumpet, Wings",White,"Communication, Truth",,,,,
Korean,Gae Bulg,Anthropomorphism,Magical spear of the hero Cu Chulainn,Earth,Other,Powerful and Legendary,"Combat, heroism",Magical spear,,"Heroism, combat",,,,,
Navajo,Gahn,Spirit,Spirit,Navajo Nation,Other,Spirit,Nature,,,Spirit,,,,,
Hellenic,Gaia,God,Earth Goddess,Greek,Female,Earth Goddess,"Earth, Fertility","Earth, Fruits",Green,"Fertility, Connection",,,,,"Uranus, Pontus, Erebus, Nyx"
Navajo,Ga'nah,Spirit,Spirit,Navajo Nation,Other,Spirit,Nature,,,Spirit,,,,,
Hindu,Ganesha,God,"God of Wisdom and New Beginnings, Remover of obstacles, prosperity, wisdom",Cosmic Realm,Male,Intelligent and Playful,"Wisdom, Success","Elephant, Modak",Yellow,"Wisdom, Success",,Parvati,Shiva,,
French,Gargouille,Anthropomorphism,Dragon-like Creature,Paris,Male,Monstrous Creature,Protecting Paris,Gargoyle Symbols,Stone,Protection,,,,,
Berber,Gatan,God,God of the sun and light,Sun,Male,Radiant and Life-Giving,"Sun, light",Solar disk,Gold,"Light, vitality, divine energy",,,,,Various solar and light deities
Buddhist,Gautama Buddha,Human,"Founder of Buddhism, Buddha",,Male,Enlightened and Compassionate,"Enlightenment, compassion","Bodhi tree, dharma wheel",Saffron,"Enlightenment, compassion",,Queen Maya,King Suddhodana,,Rahula
San,Gauwa,God,God of light and enlightenment,,Male,Radiant and Wise,"Light, enlightenment","Sun disk, radiant symbols",Yellow,"Wisdom, enlightenment",,,,,
Mongolian,Gazar Eej,God,God of Fire and Hearth,Earth,Male,Protective and Nurturing,"Fire, Hearth","Fire, Anvil",Red,"Hearth, Protection",,Earth,Sky,,
Egyptian,Geb,God,Earth God,Egypt,Male,God,"Earth, Agriculture","Goose, Green",Green,Stability,,Nut,Shu,,"Osiris, Isis, Seth"
Sicilian,Gelas,God,River God,Sicily,Male,Fluid and Ever-Flowing,"Rivers, water","River, water",Blue,"Fluidity, life flow",,,,,
Vodou,Ghede,God,Spirits of the Dead,"Haiti, New Orleans",Other,Ancestral Spirits,"Death, Ancestral Worship","Skull, Cross, Veve","Black, Purple",Ancestral Connection,,Bondye,Maman Brigitte,,"Many, including Baron Samedi"
Algonquin,Gitche Manitou,Spirit,Great Spirit,Algonquin Regions,Other,Deity,Creation,"Sky, Earth",,Creation,,,,,
Ligurian,Glanica,God,Goddess of Healing Springs,Liguria,Female,Healing and Purifying,Healing springs,Spring,Green,"Healing, purification",,,,,
Algonquin,Glooscap,Human,Creator Hero and Protector of the People,Mi'kmaq and Abenaki Nations,Male,Heroic Creator,"Creation, Protection of the People","Animal Companions, Heroic Symbols",Various,"Heroism, Protection of the People",,Sky Woman,,,Various (Including Malsum)
Wabanaki,Gluskap's Grandmother,Spirit,Grandmother Spirit and Guardian of Wisdom,Wabanaki Confederacy,Female,Grandmother Spirit,"Wisdom, Guidance, Nurturing","Wisdom Symbols, Maternal Icons",Various,"Wisdom, Nurturing",,,,,
Christian,God the Father,God,Creator and Sustainer,Heaven,Male,Divine Father,"Creation, Providence",Heavenly Symbols,White,"Love, Justice, Mercy",,,,,
Turkish,Gök Tanrı,God,Sky God,Turkish regions,Male,Powerful and Protective,"Sky, Weather","Sky, Weather",Blue,"Power, Freedom",,Ay Ata,Gün Ana,,
Nez Perce,Gondolik,Spirit,Spirit,Nez Perce Region,Other,Spirit,Nature,,,Spirit,,,,,
Chinese,Gong Gong,God,God of Water and Chaos,Water,Male,Chaotic and Powerful,"Water, Chaos","Serpent, Water Symbol",Blue,"Chaos, Water",,,,,
Pueblo,Goo,Spirit,Spirit,Pueblo Regions,Other,Spirit,"Nature, Guardian",Guardian Symbols,,"Nature, Guardian",,,,,
Chibchan,Goranchacha,God,Goddess of Rain,Chibchan Regions,Female,Goddess,"Rain, Agriculture","Rain, Corn",,"Rain, Agriculture",,,,,
Caribbean,Gran Bois,God,Forest Spirit and Guardian,Haiti,Male,Protector of Forests,"Forests, Wildlife, Nature","Tree, Animal Spirits",Green,"Nature, Protection",,,,,
San,Great Healer,God,Healing and Protection,,Male,Healer,"Healing, protection","Herbs, healing tools","Green, brown","Healing, protection",,,,,
Buddhist,Green Tara,God,Bodhisattva of Compassion,Buddhist Traditions,Female,Deity,Compassion,"Lotus, Green Tara",Green,Compassion,,,,,
Caribbean,Guabancex,God,Goddess of Storms and Destruction,Taino Mythology,Female,Stormbringer,"Storms, Destruction, Chaos","Hurricanes, Lightning","Grey, Blue","Chaos, Destruction",,,,,
Chinese,Guan Yin,God,Goddess of Mercy,"Heaven, Earth",Female,Compassionate and Merciful,"Compassion, Mercy",Lotus Flower,White,"Compassion, Mercy",,,,,
Chinese,Guan Yu,God,God of war,Heaven,Male,Warrior and wisdom,War and wisdom,"Green dragon, guan dao","Red, green","War, wisdom",Married,"Wangmu,","Jade Emperor,",Xi Wangmu,"Many, including Guanyin"
Chinese,Guanyin,God,Goddess of mercy and compassion,Potalaka,Female,Compassionate and Caring,"Mercy, compassion","Willow branch, vase",White,"Mercy, compassion",,,,,
Berber,Guenja,God,God of war and protection,War,Male,Fierce and Protective,"War, protection",Sword,Red,"Courage, protection, victory",,,,,Various war and protection deities
Sumerian,Gugalanna,God,Bull of heaven,-,Male,Deity,Destruction,Bull,-,Destruction,-,-,-,-,Various deities
Sara,Gula,Spirit,Spirit associated with fertility and growth,Sara homeland,Female,Nurturing and Fertile,"Fertility, agriculture",Fertility,Green,"Fertility, abundance",,,,,
Turkish,Gün Ana,God,Sun Goddess,Turkish regions,Female,Warm and Nurturing,"Sun, Light","Sun, Light",Yellow,"Light, Warmth",Married,,,Gök Tanrı,Ay Ata
Indonesian,Gunung Agung,Spirit,Sacred Mountain Spirit,"Bali, Indonesia",Male,Majestic and Sacred,Sacred Mountains,"Mountain, Clouds",White,"Sacredness, Majesty",,,,,
Sami,Guovssahasaid,Spirit,Sisters of the Winds,Sami Lands,Female,Swift and Unseen,"Winds, Air",Wind Symbols,"White, Grey","Swift Movement, Unseen Presence",,,,,"Many, including wind spirits"
Buddhist,Guru Rinpoche,God,Buddhist Master,Buddhist Traditions,Male,Deity,Spiritual Guidance,"Lotus, Vajra",,Spiritual Guidance,,,,,
Berber,Gurzil,God,God of rain and agriculture,Earth,Male,Nurturing and Fertile,"Rain, agriculture",Rainclouds,Blue,"Fertility, abundance, agricultural",,,,,Various agricultural deities
Navajo,Haashch'eeh'n,God,"Black God is, first and foremost, a fire god",Navajo Nation,Male,"old, slow and apparently helpless","Chaos, Destruction",Monster,,"Black God is, first and foremost, a fire god",,,,,
Spanish,Habis,God,God of Agriculture and Fertility,Iberian Peninsula,Male,Agrarian and Fertile,"Agriculture, Fertility","Plow, Sheaf of Wheat","Green, Gold","Agriculture, Fertility",,,,,
Shinto,Hachiman,God,God of war and divine protector of Japan,Sky,Male,Courageous and Just,"War, justice","Bow, arrows, sacred dove","Red, white","War, justice",Married,Empress Jingu,Emperor Ojin,"Many, including Emperor Ingyo","Many, including Emperor Nintoku"
Greek,Hades,God,"Underworld, death",Underworld,Male,"Mysterious, stern","Underworld, death",Helmet,Black,"Death, wealth",Married,Cronus,Rhea,Persephone,"Melinoe, Zagreus"
Korean,Haemosu,God,"Sun God, Bringer of Light",Sky,Male,Radiant and Warm,"Sunlight, Life","Sun Disk, Rays",Yellow,"Light, Life",,,,,
Iroquois,Hahgwehdiyu,God,Creator,Iroquois Nations,Other,Deity,Creation,"Sky, Earth",,Creation,,,,,
Hittite,Hannahanna,God,Mother Goddess,Hittite Regions,Female,Goddess,"Motherhood, Fertility","Grain, Womb",,"Motherhood, Fertility",,,,,
Hindu,Hanuman,God,"Monkey God, Devotee of Rama","Forests, Temples",Male,Devoted and Mighty,"Devotion, Strength","Mace, Mountain",Orange,"Devotion, Strength",,"Anjana, Kesari",,,
Persian,Haoma,God,God of Plants and Healing,Persia,Male,Healing and Life-Giving,"Plants, Healing",Plant,Green,"Healing, Life",,,,,
Zoroastrian,Haoma,Anthropomorphism,Divine plant,-,Other,Deity,"Immortality, ritualistic drinks",Plant,-,Associated with immortality,-,-,-,-,Various deities
Egyptian,Hapi,God,God of the Nile and Fertility,Egypt,Male,Nurturing and Abundant,"Nile, fertility","Water jars, lotus",Green,"Fertility, abundance",,,,,
Caddo,Hashtali (Morning Star),God,Sky God and Bringer of Light,Caddo Nation,Male,Sky Deity,"Morning Star, Light, Guidance",Celestial Symbols,"Blue, Yellow","Light, Guidance",,,,,
Creek,Hatakni,Spirit,Spirit,Creek Nation,Other,Spirit,Nature,,,Spirit,,,,,
Egyptian,Hathor,God,Goddess of Love and Motherhood,Egypt,Female,Joyful Mother,"Love, Motherhood, Music","Cow, Sistrum",Gold,"Love, Joy, Music",Married,Nut,Ra,Horus,"Ihy, Harsomptus"
Arab,Haubas,God,God of Thunder and Rain,Arabian Peninsula,Male,Thunderous and Fertile,"Thunder, Rain, Fertility",Thunderbolt,Blue,"Fertility, Rain",,,,,
Tahitian,Hau-maka,God,God of the sea and fish,"Oceans, Seas",Male,Benevolent and Protective,"Sea, fish",Fish,Blue,Harmony with nature,,,,,Various sea beings
Polynesian,Haumea,God,Fertility goddess and mother of gods,Earth,Female,Fertile and Nurturing,"Fertility, abundance",Earth,Brown,"Fertility, abundance",,,,,Various fertility-related beings
Maori,Haumia,God,God of wild plants and uncultivated food,Wilderness,Male,Wild and Resourceful,"Wild plants, sustenance","Wild plants, food",Green,"Sustainability, foraging",,Papatuanuku,Ranginui,,"Many, including wild plants spirits"
Hawaiian,Hauola,God,Goddess,Hawaii,Female,Goddess,"Health, Healing",Healing Herbs,Green,"Health, Healing",,,,,
Iroquois,Hawenneyu (Holder of the Heavens),God,Sky God and Guardian of Natural Order,Iroquois Confederacy,Male,Sky Deity,"Sky, Natural Order, Balance",Celestial Symbols,Blue,"Harmony with Nature, Balance",,Sky Woman,,,
Buddhist,Hayagriva,God,Wisdom King,Buddhist Traditions,Male,Deity,"Wisdom, Horse","Horse, Flame",Red,"Wisdom, Horse",,,,,
Yazidi,Hayyi,God,"Supreme God, Creator of the Universe",Yazidi,Male,Supreme Creator,"Creation, Universality","Solar Disk, Cosmic Serpent",Blue,"Universality, Cosmic Order",,,,,
Greek,Hecate,God,"Goddess of Magic, Crossroads, and Ghosts",Mount Olympus,Female,Triple Goddess,"Magic, Crossroads, Ghosts","Torch, Key, Serpent",Black,"Magic, Crossroads, Protection",,Perses,Asteria,,
Norse,Heimdallr,God,"Guardian of Bifrost, Watchman of the Gods",Asgard,Male,Vigilant and Observant,"Guarding, Alertness","Horn, Gjallarhorn","White, Gold","Vigilance, Alertness",,Nine Mothers,Odin,,
Norse,Hel,God,Queen of the Underworld,Helheim,Female,Stern and Rulerly,"Underworld, Death","Gloom, Death",Black,"Death, Rulership",,Angrboda,Loki,,"Jormungandr, Fenrir"
Hittite,Hepat,God,Goddess of Love and Fertility,Earth,Female,Loving and Fertile,"Love, fertility","Dove, myrtle tree","White, green","Love, fertility",,,,,"Many, including Telipinu"
Greek,Hephaestus,God,God of Fire and Blacksmiths,Mount Olympus,Male,Skilled and Artistic,"Fire, craftsmanship","Anvil, hammer",Orange,"Craftsmanship, creativity, diligence",Married,Hera,Zeus,Aphrodite,"Eileithyia, Eunomia, Euthenia"
Greek,Hera,God,"Queen of the gods, marriage, family",Mount Olympus,Female,"Protective, authoritative","Marriage, family, childbirth","Peacock feather, diadem",feather Gold,"Marriage, family",Married,Rhea,Cronus,Zeus,"Ares, Hephaestus, Hebe, Eileithyia"
Etruscan,Hercle,God,God of physical strength and bravery,,Male,Strong and Brave,"Strength, bravery","Club, lion skin","Red, brown","Strength, bravery",,Uni,Tinia,,"Many, including Leinth"
Greek,Hermes,God,Messenger of the Gods and God of Travel,Mount Olympus,Male,Clever and Agile,"Communication, travel, commerce","Caduceus, winged sandals",Yellow,"Communication, wit, commerce",Married,Maia,Zeus,Aphrodite,"Pan, Abderus"
Greek,Hestia,God,Goddess of the Hearth,Mount Olympus,Female,Warm and Nurturing,"Hearth, home",Fireplace,Red,"Home, hearth, hospitality",,Cronus,Rhea,,
Mandean,Hibil Ziwa,God,God of Light and Wisdom,Mandaean,Male,"Light, Wisdom","Knowledge, Enlightenment","Light, Wisdom",White,"Knowledge, Enlightenment",,"Ptahil, Ruha",,,
Hawaiian,Hi'iaka,God,"Goddess of hula, dance, and forests","Forests, Dance",Female,Creative and Nurturing,"Hula, dance, forests",Lehua flowers,Red,"Creativity, natural beauty",,Pele,,,Various forest beings
Finnish,Hiisi,Spirit,"Nature Spirit, spirit of hill forests",Finland,Male,Spirit,Nature,"Forest, Grove",Green,"Nature Spirit, spirit of hill forests",,,,,
Tahitian,Hina,God,Goddess associated with the moon,"Moon, night",Female,Lunar and Wise,"Moon, night, wisdom","Moon, lunar symbols",Silver,"Wisdom, lunar cycles",,Sky Father,Earth Mother,,"Many, including moon and night spirits"
Polynesian,Hina,God,Goddess associated with the moon,Sky,Female,Radiant and Nurturing,"Moon, night",Moon,Silver,"Lunar activities, fertility",,Papatūānuku,Rangi,,Various lunar-related beings
Polynesian,Hina,God,Goddess of the moon and fertility,Sky,Female,Gentle and Nurturing,"Moon, fertility",Moon,Silver,"Fertility, motherhood",,Papatūānuku,Rangi,,Various fertility beings
Polynesian,Hina-Kehua,God,Ghost goddess associated with night,Underworld,Female,Ghostly and Elusive,"Spirits, night","Shadows, spirits",Gray,Commemoration of the dead,,,,,Various spirit beings
Tahitian,Hina-uri,God,Goddess of the underworld and death,Underworld,Female,Mysterious and Enigmatic,"Underworld, death",Shadows,Black,Understanding mortality,,,,,Various underworld beings
Polynesian,Hine-Moana,God,Goddess of the sea,"Ocean, Seas",Female,Tranquil and Protective,"Sea, ocean fertility",Ocean,Blue,"Sea, fertility",,,,,Various sea creatures
Polynesian,Hine-Nui-Te-Po,God,Goddess of death and the underworld,Underworld,Female,Enigmatic and Powerful,"Underworld, afterlife",Darkness,Black,Acceptance of mortality,,,,,Various underworld beings
Zulu,Hlakanyana,Human,Trickster,Zulu Regions,Male,Hero,Trickery,Mantis,,Trickery,,,,,
Vietnamese,Hồ Đôi,God,God of Marriage and Love,Love and Marriage,Male,Romantic and Matchmaking,"Love, Marriage","Red Strings, Love Knot",Red,"Love, Marriage",,,,,
Norse,Hoenir,God,God of Silence and Forethought,Asgard,Male,Silent and Forethinking,"Silence, Forethought",Not specified,Not specified,"Silence, Forethought",,Not mentioned,Odin,,
Christian,Holy Spirit,God,Divine Comforter,Everywhere,Other,Divine Comforter,"Guidance, Inspiration","Dove, Flames",White,"Wisdom, Holiness",,,God the Father,,
Persian,Homa,God,"Divine Bird, Symbol of Purity and Prosperity",Persia,Male,Pure and Prosperous,"Purity, Prosperity",Bird Motif,White,"Purity, Prosperity",,,,,
Sami,Horagalles,God,God of Thunder and Lightning,Sami Lands,Male,Powerful and Thunderous,"Thunder, Lightning",Thunderbolt,"Blue, White","Power, Protection",,,,,"Many, including storm spirits"
Ainu,Horkew Kamuy,God,Fire God,Ainu Regions,Male,God,"Fire, Hearth","Fire, Flames",,"Fire, Hearth",,,,,
Egyptian,Horus,God,God of the sky,Duat (Underworld),Male,Guardian and sky ruler,Judgment and resurrection,"Eye of Horus, jackal","Gold, green,","Judgment, resurrection,",Married,Isis,Osiris,"Hathor, Bastet","Many, including Oenghus"
Chinese,Hou Tu,God,"Earth Mother, Sustainer of Life",Earth,Female,Nurturing and Life-Giving,"Earth, Sustenance","Grain, Fertility",Brown,"Nurturing, Sustenance",,,,,
Chinese,Hou Yi,God,Archer and Hero,Earth,Male,Skilled Archer and Protector,"Archery, Heroism",Bow and Arrow,Green,"Archery, Heroic Deeds",Married,,,Chang'e (Wife),
Laotian,Houane San,God,God of Rice,Agriculture,Male,Provider and Abundant,"Rice, Agriculture",Rice Plants,Green,"Agriculture, Abundance",,,,,
Aymara,Huari,God,God of Weather and Rain,Andean Region,Male,Weather Deity,"Rain, Weather Changes","Rain Clouds, Thunderbolt","Blue, White","Rain, Agricultural Abundance",,,,,
Arab,Hubal,God,God of the Moon,Mecca,Male,Lunar and Fierce,"Moon, Power, Divination",Crescent Moon Idol,Silver,"Lunar Power, Divination",,,,,
Aztec,Huitzilopochtli,God,Sun goddess,Templo Mayor (Great Temple),Female,Radiant and sun,Sun and warmth,"Quetzal feather headdress,","Red, green","Sun, warmth,",Married,Coatlicue,Coatlicue,"Many, including Haniyasu-hime","Many, including Xipe Totec, Tecciztecatl"
Aztec,Huitzilopochtli,God,Sun and War God,Mesoamerica,Female,Warrior and Sun God,"War, Sun, Human Sacrifice","Hummingbird, Serpent",Blue,"War, Sun, Sacrifice",Married,Coatlicue (Mother),Mixcoatl (Father),"Many, including Haniyasu-hime","Many, including Xipe Totec, Tecciztecatl"
Aztec ,Huitzilopochtli,God,"God of war, sun, and the patron deity of the Mexican",Mesoamerica,Male,Deity,"War, Sun, Patron deity","Hummingbird, Serpent",Blue,"War, Sun",-,Coatlicue,Mixcoatl,-,Various deities
Mayan,Hunab Ku,God,Supreme deity representing the source of all,Mesoamerica,Other,Cosmic Source,"Cosmic Source, Unity",Galactic Core,Multicolored,"Unity, Cosmic Harmony, Creative Source",,,,,Various Aspects
Maya,Hunahpu and Xbalanque,Human,Hero Twins,Mesoamerica,Male,Heroic and Clever,"Trickery, Heroism","Blowgun, Jaguar","Red, Black","Heroism, Trickery",,Xquic (Mother),Xpiyacoc (Father),,
Korean,Hwanung,God,God of the heavens and creator of humanity,Sky,Male,Benevolent and Creative,"Heaven, creation","Clouds, crane","Blue, white","Creativity, benevolence",,,,,"Many, including Dangun"
Korean,Hyeonmu,Anthropomorphism,"Black Tortoise, Guardian of the North",North,Male,Protective and Strong,"Protection, Stability",Tortoise Shell,Black,"Protection, Stability",,,,,
Iroquois,Iagentci,Spirit,Spirit,Iroquois Nations,Other,Spirit,"Nature, Spirit","Forest, Animals",,"Nature, Spirit",,,,,
Xavante,Iaupé,God,Goddess of the Sun and Fertility,Xavante Territory,Female,Solar Deity,"Sun, Fertility, Life","Sun Disk, Fertility Symbols",Yellow,"Fertility, Life",,,,,
Sao,Ibeji,God,"Twin deities associated with duality, balance, and harmony",Cosmos,Other,Harmonious and Dualistic,"Duality, balance, harmony",Twin figures,Blue and Pink,"Duality, balance, harmony",,Olodumare,,,Various twin-related deities
Muisca,Idacansás,God,"First priest of the sacred city of Sugamuxi, ""Luz grande del día""",Muisca Confederation,Male,Deity,"Nature, Earth,  great magical powers, make rain and hail and transmit diseases and warmth","Earth, Agriculture",,"Nature, Earth",,,,,
Igbo,Idemili,God,Goddess of rivers and water bodies,Water,Female,Serene and Nurturing,"Rivers, water bodies","River, fish","Blue, green","Serenity, abundance",,,,,
Norse,Idun,God,Goddess of Youth and Apples,Asgard,Female,Eternal and Nurturing,"Youth, Apples","Apples, Basket","Green, Gold","Youth, Vitality",,Not mentioned,Not mentioned,,
Berber,Ifri,God,Goddess of caves and underworld,Underworld,Female,Mysterious and Protective,"Caves, underworld",Cave entrance,Black,"Mystery, protection of the dead",,,,,Various underworld beings
Inuit,Igaluk,God,God of the Moon and Night,Arctic Regions,Male,Calm and Reflective,"Moon, Night",Full Moon,Silver,"Reflection, Tranquility",,,,,"Many, including night spirits"
Inuit,Igloolik,God,God of Home and Hearth,Arctic Regions,Male,Warm and Protective,"Home, Hearth","Igloo, Fire","White, Red","Home, Warmth",,,,,"Many, including hearth spirits"
Zapotec,Ihuimeh,God,Earth Goddess,Zapotec Regions,Female,Goddess,"Earth, Fertility","Corn, Flowers",Green,"Earth, Fertility",,,,,
Igbo,Ikenga,God,God of achievement and success,,Male,Wise and Achiever,"Achievement, success","Horn, anvil","Red, white","Success, achievement",,,,,
Lakota,Iktomi,Spirit,Trickster,Lakota Nation,Male,Spirit,"Trickery, Wisdom",Spider,,"Trickery, Wisdom, Humor",,,,,
Hittite,Illuyanka,God,Serpent God,Hittite Regions,Male,God,"Chaos, Serpents",Serpent,,"Chaos, Serpents",,,,,
Finnish,Ilmarinen,Human,Blacksmith,Finland,Male,Hero,Blacksmithing,"Anvil, Hammer",Black,Craft,,Ilmatar,,,
Egyptian,Imhotep,God,God of Wisdom,Egypt,Male,Deified,"Wisdom, Healing",Step Pyramid,,"Wisdom, Healing",,,,,
Zulu,Impundulu,Anthropomorphism,Lightning Bird,Zulu Regions,Other,Mythical,"Thunder, Lightning","Lightning, Bird",,"Thunder, Lightning",,,,,
Mesopotamian,Inanna,God,Goddess of love and war,Sky,Female,Loving and fierce,Love and war,"Star, crescent moon","Blue, white","Love, war",Married,Ninlil,Enlil,Ki,"Many, including Change"
Sumerian,Inanna,God,"Goddess of Love, Fertility, and War",Sumer,Female,"Passionate, Powerful","Love, Fertility, War",Star of Inanna,Red,"Love, Fertility, War",,Ningal,Nanna,,"Dumuzid, Shara"
Sumerian,Inanna (Ishtar),God,"Goddess of love, fertility, war",-,Female,Deity,"Love, fertility, war","Star, Lion",-,"Love, Fertility, War",-,Nanna (Sin),Enlil,Dumuzid,Various deities
Shinto,Inari,God,Goddess of rice and fertility,Takamagahara (High Plain of Heaven),Female,Rice and fertility,"Rice and fertility,",Feathered serpent,"Gold, red","Rice, fertility",Married,Izanami,Izanagi,Amaterasu,"Many, including Quetzalcoatl, Xolotl"
Shinto,Inari Okami,God,"God/goddess of rice, fertility, and prosperity",Earth,Male,Nurturing and Fertile,"Rice, fertility, prosperity","Fox, rice sheaves","Red, white","Fertility, prosperity",,,,,"Many, including Uke Mochi"
Zulu,Indlovukati,God,Lioness Goddess,Zulu Regions,Female,Goddess,"Hunting, Protection",Lioness,,"Hunting, Protection",,,,,
Tuareg,Ineher,God,God of the sun and celestial forces,Sky,Male,Radiant and Powerful,"Sun, celestial forces",Sun disc,Gold and Red,"Solar energy, celestial power",,,,,
Inca,Inti,God,Sun God,Andean Region,Male,Solar Deity,"Sun, Light, Fertility, Agriculture","Sun Disk, Golden Rays","Gold, Yellow","Light, Fertility",Married,Pachamama,Viracocha,Mama Killa,Pachacamac
Ligurian,Intuersia,God,Goddess of Intuition and Wisdom,Liguria,Female,Wise and Intuitive,"Intuition, wisdom",Owl,Gray,"Intuition, wisdom",,,,,
Xavante,Iny,God,Goddess of the Sun and Fertility,Xavante Territory,Female,Solar Deity,"Sun, Fertility, Life","Sun Disk, Fertility Symbols",Yellow,"Fertility, Life",,,,,
Zulu,Inyamazane,Spirit,Nature Spirit,Zulu Regions,Female,Spirit,"Nature, Mountains",Mountains,,"Nature, Mountains",,,,,
Lakota,Inyan,Spirit,Rock Spirit,Lakota Nation,Other,Spirit,"Nature, Strength",Rock Symbols,,"Nature, Strength",,,,,
Polynesian,Io,God,Supreme being and creator,Polynesia,Other,Divine Creator,"Creation, Life, Harmony",,,"Creation, Harmony, Divine Intervention",,,,,Various Creations
Sardinian,Iola,God,Goddess of the Dawn,Sardinia,Female,Radiant and Renewing,"Dawn, new beginnings",Sun,Gold,"New beginnings, light",,,,,
Berber,Iqayen,God,Goddess of the sky and celestial bodies,Sky,Female,Celestial and Enigmatic,"Stars, planets, celestial events",Star cluster,Blue,"Cosmic order, celestial beauty",,,,,Various celestial beings
Tuareg,Irikuden,God,God of thunder and storms,Desert,Male,Thunderous and Powerful,"Thunder, storms",Thunderbolt,Grey and Black,"Thunder, storm, power",,,,,
Greek,Iris,God,Goddess of the Rainbow,Mount Olympus,Female,Graceful and Colorful,"Rainbows, communication",Rainbow,Multicolored,"Communication, messages, rainbows",,Thaumas,Electra,,
