Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children,Name-Greek,Name-Greek
hittite,hepat,god,goddess of love and fertility,earth,female,loving and fertile,"love, fertility","dove, myrtle tree","white, green","love, fertility",,,,,"many, including telipinu",,
greek,hephaestus,god,god of fire and blacksmiths,mount olympus,male,skilled and artistic,"fire, craftsmanship","anvil, hammer",orange,"craftsmanship, creativity, diligence",married,hera,zeus,aphrodite,"eileithyia, eunomia, euthenia",,
greek,hera,god,"queen of the gods, marriage, family",mount olympus,male,"protective, authoritative","marriage, family, childbirth","peacock feather, diadem",feather gold,"marriage, family",married,rhea,cronus,zeus,"ares, hephaestus, hebe, eileithyia",,
etruscan,hercle,god,god of physical strength and bravery,,male,strong and brave,"strength, bravery","club, lion skin","red, brown","strength, bravery",,uni,tinia,,"many, including leinth",,
greek,hermes,god,messenger of the gods and god of travel,mount olympus,male,clever and agile,"communication, travel, commerce","caduceus, winged sandals",yellow,"communication, wit, commerce",married,maia,zeus,aphrodite,"pan, abderus",,
greek,hestia,god,goddess of the hearth,mount olympus,female,warm and nurturing,"hearth, home",fireplace,red,"home, hearth, hospitality",,cronus,rhea,,,,
mandean,hibil ziwa,god,god of light and wisdom,mandaean,male,"light, wisdom","knowledge, enlightenment","light, wisdom",white,"knowledge, enlightenment",,"ptahil, ruha",,,,,
hawaiian,hi'iaka,god,"goddess of hula, dance, and forests","forests, dance",female,creative and nurturing,"hula, dance, forests",lehua flowers,red,"creativity, natural beauty",,pele,,,various forest beings,,
finnish,hiisi,spirit,"nature spirit, spirit of hill forests",finland,other,spirit,nature,"forest, grove",green,"nature spirit, spirit of hill forests",,,,,,,
tahitian,hina,god,goddess associated with the moon,"moon, night",female,lunar and wise,"moon, night, wisdom","moon, lunar symbols",silver,"wisdom, lunar cycles",,sky father,earth mother,,"many, including moon and night spirits",,
polynesian,hina,god,goddess associated with the moon,sky,female,radiant and nurturing,"moon, night",moon,silver,"lunar activities, fertility",,papatūānuku,rangi,,various lunar-related beings,,
polynesian,hina,god,goddess of the moon and fertility,sky,female,gentle and nurturing,"moon, fertility",moon,silver,"fertility, motherhood",,papatūānuku,rangi,,various fertility beings,,
polynesian,hina-kehua,god,ghost goddess associated with night,underworld,female,ghostly and elusive,"spirits, night","shadows, spirits",gray,commemoration of the dead,,,,,various spirit beings,,
tahitian,hina-uri,god,goddess of the underworld and death,underworld,female,mysterious and enigmatic,"underworld, death",shadows,black,understanding mortality,,,,,various underworld beings,,
polynesian,hine-moana,god,goddess of the sea,"ocean, seas",female,tranquil and protective,"sea, ocean fertility",ocean,blue,"sea, fertility",,,,,various sea creatures,,
polynesian,hine-nui-te-po,god,goddess of death and the underworld,underworld,female,enigmatic and powerful,"underworld, afterlife",darkness,black,acceptance of mortality,,,,,various underworld beings,,
zulu,hlakanyana,human,trickster,zulu regions,other,hero,trickery,mantis,,trickery,,,,,,,
vietnamese,hồ đôi,god,god of marriage and love,love and marriage,male,romantic and matchmaking,"love, marriage","red strings, love knot",red,"love, marriage",,,,,,,
norse,hoenir,god,god of silence and forethought,asgard,male,silent and forethinking,"silence, forethought",not specified,not specified,"silence, forethought",,not mentioned,odin,,,,
christian,holy spirit,god,divine comforter,everywhere,other,divine comforter,"guidance, inspiration","dove, flames",white,"wisdom, holiness",,,god the father,,,,
persian,homa,god,"divine bird, symbol of purity and prosperity",persia,other,pure and prosperous,"purity, prosperity",bird motif,white,"purity, prosperity",,,,,,,
sami,horagalles,god,god of thunder and lightning,sami lands,male,powerful and thunderous,"thunder, lightning",thunderbolt,"blue, white","power, protection",,,,,"many, including storm spirits",,
ainu,horkew kamuy,god,fire god,ainu regions,male,god,"fire, hearth","fire, flames",,"fire, hearth",,,,,,,
egyptian,horus,god,god of the sky,duat (underworld),male,guardian and sky ruler,judgment and resurrection,"eye of horus, jackal","gold, green,","judgment, resurrection,",married,isis,osiris,"hathor, bastet","many, including oenghus",,
chinese,hou tu,god,"earth mother, sustainer of life",earth,other,nurturing and life-giving,"earth, sustenance","grain, fertility",brown,"nurturing, sustenance",,,,,,,
chinese,hou yi,god,archer and hero,earth,other,skilled archer and protector,"archery, heroism",bow and arrow,green,"archery, heroic deeds",married,,,chang'e (wife),,,
laotian,houane san,god,god of rice,agriculture,male,provider and abundant,"rice, agriculture",rice plants,green,"agriculture, abundance",,,,,,,
aymara,huari,god,god of weather and rain,andean region,male,weather deity,"rain, weather changes","rain clouds, thunderbolt","blue, white","rain, agricultural abundance",,,,,,,
arab,hubal,god,god of the moon,mecca,male,lunar and fierce,"moon, power, divination",crescent moon idol,silver,"lunar power, divination",,,,,,,
aztec,huitzilopochtli,god,sun goddess,templo mayor (great temple),female,radiant and sun,sun and warmth,"quetzal feather headdress,","red, green","sun, warmth,",married,coatlicue,coatlicue,"many, including haniyasu-hime","many, including xipe totec, tecciztecatl",,
aztec,huitzilopochtli,god,sun and war god,mesoamerica,male,warrior and sun god,"war, sun, human sacrifice","hummingbird, serpent",blue,"war, sun, sacrifice",married,coatlicue (mother),mixcoatl (father),"many, including haniyasu-hime","many, including xipe totec, tecciztecatl",,
aztec ,huitzilopochtli,god,"god of war, sun, and the patron deity of the mexican",mesoamerica,male,deity,"war, sun, patron deity","hummingbird, serpent",blue,"war, sun",-,coatlicue,mixcoatl,-,various deities,,
mayan,hunab ku,god,supreme deity representing the source of all,mesoamerica,other,cosmic source,"cosmic source, unity",galactic core,multicolored,"unity, cosmic harmony, creative source",,,,,various aspects,,
maya,hunahpu and xbalanque,human,hero twins,mesoamerica,other,heroic and clever,"trickery, heroism","blowgun, jaguar","red, black","heroism, trickery",,xquic (mother),xpiyacoc (father),,,,
korean,hwanung,god,god of the heavens and creator of humanity,sky,male,benevolent and creative,"heaven, creation","clouds, crane","blue, white","creativity, benevolence",,,,,"many, including dangun",,
korean,hyeonmu,anthropomorphism,"black tortoise, guardian of the north",north,other,protective and strong,"protection, stability",tortoise shell,black,"protection, stability",,,,,,,
iroquois,iagentci,spirit,spirit,iroquois nations,other,spirit,"nature, spirit","forest, animals",,"nature, spirit",,,,,,,
xavante,iaupé,god,goddess of the sun and fertility,xavante territory,female,solar deity,"sun, fertility, life","sun disk, fertility symbols",yellow,"fertility, life",,,,,,,
sao,ibeji,god,"twin deities associated with duality, balance, and harmony",cosmos,other,harmonious and dualistic,"duality, balance, harmony",twin figures,blue and pink,"duality, balance, harmony",,olodumare,,,various twin-related deities,,
muisca,idacansás,god,"first priest of the sacred city of sugamuxi, ""luz grande del día""",muisca confederation,other,deity,"nature, earth,  great magical powers, make rain and hail and transmit diseases and warmth","earth, agriculture",,"nature, earth",,,,,,,
igbo,idemili,god,goddess of rivers and water bodies,water,female,serene and nurturing,"rivers, water bodies","river, fish","blue, green","serenity, abundance",,,,,,,
norse,idun,god,goddess of youth and apples,asgard,female,eternal and nurturing,"youth, apples","apples, basket","green, gold","youth, vitality",,not mentioned,not mentioned,,,,
berber,ifri,god,goddess of caves and underworld,underworld,female,mysterious and protective,"caves, underworld",cave entrance,black,"mystery, protection of the dead",,,,,various underworld beings,,
inuit,igaluk,god,god of the moon and night,arctic regions,male,calm and reflective,"moon, night",full moon,silver,"reflection, tranquility",,,,,"many, including night spirits",,
inuit,igloolik,god,god of home and hearth,arctic regions,male,warm and protective,"home, hearth","igloo, fire","white, red","home, warmth",,,,,"many, including hearth spirits",,
zapotec,ihuimeh,god,earth goddess,zapotec regions,female,goddess,"earth, fertility","corn, flowers",green,"earth, fertility",,,,,,,
igbo,ikenga,god,god of achievement and success,,male,wise and achiever,"achievement, success","horn, anvil","red, white","success, achievement",,,,,,,
lakota,iktomi,spirit,trickster,lakota nation,other,spirit,"trickery, wisdom",spider,,"trickery, wisdom, humor",,,,,,,
hittite,illuyanka,god,serpent god,hittite regions,male,god,"chaos, serpents",serpent,,"chaos, serpents",,,,,,,
finnish,ilmarinen,human,blacksmith,finland,other,hero,blacksmithing,"anvil, hammer",black,craft,,ilmatar,,,,,
egyptian,imhotep,god,god of wisdom,egypt,male,deified,"wisdom, healing",step pyramid,,"wisdom, healing",,,,,,,
zulu,impundulu,anthropomorphism,lightning bird,zulu regions,other,mythical,"thunder, lightning","lightning, bird",,"thunder, lightning",,,,,,,
mesopotamian,inanna,god,goddess of love and war,sky,female,loving and fierce,love and war,"star, crescent moon","blue, white","love, war",married,ninlil,enlil,ki,"many, including change",,
sumerian,inanna,god,"goddess of love, fertility, and war",sumer,female,"passionate, powerful","love, fertility, war",star of inanna,red,"love, fertility, war",,ningal,nanna,,"dumuzid, shara",,
sumerian,inanna (ishtar),god,"goddess of love, fertility, war",-,female,deity,"love, fertility, war","star, lion",-,"love, fertility, war",-,nanna (sin),enlil,dumuzid,various deities,,
shinto,inari,god,goddess of rice and fertility,takamagahara (high plain of heaven),female,rice and fertility,"rice and fertility,",feathered serpent,"gold, red","rice, fertility",married,izanami,izanagi,amaterasu,"many, including quetzalcoatl, xolotl",,
shinto,inari okami,god,"god/goddess of rice, fertility, and prosperity",earth,female,nurturing and fertile,"rice, fertility, prosperity","fox, rice sheaves","red, white","fertility, prosperity",,,,,"many, including uke mochi",,
zulu,indlovukati,god,lioness goddess,zulu regions,female,goddess,"hunting, protection",lioness,,"hunting, protection",,,,,,,
tuareg,ineher,god,god of the sun and celestial forces,sky,male,radiant and powerful,"sun, celestial forces",sun disc,gold and red,"solar energy, celestial power",,,,,,,
inca,inti,god,sun god,andean region,male,solar deity,"sun, light, fertility, agriculture","sun disk, golden rays","gold, yellow","light, fertility",married,pachamama,viracocha,mama killa,pachacamac,,
ligurian,intuersia,god,goddess of intuition and wisdom,liguria,female,wise and intuitive,"intuition, wisdom",owl,gray,"intuition, wisdom",,,,,,,
xavante,iny,god,goddess of the sun and fertility,xavante territory,female,solar deity,"sun, fertility, life","sun disk, fertility symbols",yellow,"fertility, life",,,,,,,
zulu,inyamazane,spirit,nature spirit,zulu regions,other,spirit,"nature, mountains",mountains,,"nature, mountains",,,,,,,
lakota,inyan,spirit,rock spirit,lakota nation,other,spirit,"nature, strength",rock symbols,,"nature, strength",,,,,,,
polynesian,io,god,supreme being and creator,polynesia,other,divine creator,"creation, life, harmony",,,"creation, harmony, divine intervention",,,,,various creations,,
sardinian,iola,god,goddess of the dawn,sardinia,female,radiant and renewing,"dawn, new beginnings",sun,gold,"new beginnings, light",,,,,,,
berber,iqayen,god,goddess of the sky and celestial bodies,sky,female,celestial and enigmatic,"stars, planets, celestial events",star cluster,blue,"cosmic order, celestial beauty",,,,,various celestial beings,,
tuareg,irikuden,god,god of thunder and storms,desert,male,thunderous and powerful,"thunder, storms",thunderbolt,grey and black,"thunder, storm, power",,,,,,,
greek,iris,god,goddess of the rainbow,mount olympus,female,graceful and colorful,"rainbows, communication",rainbow,multicolored,"communication, messages, rainbows",,thaumas,electra,,,,
sao,irunmole,spirit,intermediate spirits between humans and olodumare,cosmos,male,divine and influential,"spiritual guidance, intermediaries",radiant light,gold,"spiritual connection, guidance",,olodumare,,,various intermediary spirits,,
berber,irzem,god,god of dreams and the subconscious,dreams,male,mysterious and dreamlike,"dreams, subconscious",crescent moon,indigo,"dreams, intuition, inner knowledge",,,,,various dream and subconscious deities,,
canaanite,ishara,god,goddess of love,-,female,deity,"love, oaths",-,-,love and oaths,-,-,-,-,-,,
assyrian,ishtar,god,goddess of love and war,assyria,female,powerful and capricious,"love, war, fertility",eight-pointed star,red,"love, fertility",married,lahmu,lahamu,tammuz,"many, including ninurta",,
mesopotamian,ishtar,god,goddess of love and war,mesopotamia,female,complex goddess,"love, war, fertility","eight-pointed star, lion",red,"love, fertility, power",married,sin,anu,tammuz,various deities,,
egyptian,isis,god,goddess of magic and motherhood,egyptian,female,"magic, motherhood","magic, fertility","ankh, throne",blue,"magic, fertility",married,nut,geb,osiris,"horus, anubis",,
maya,itzamná,god,supreme deity,mesoamerica,other,creator and wise,"creation, wisdom","celestial, serpent",white,"creation, wisdom",,,,,,,
tuareg,iwellemmedan,spirit,spirit of the desert and guardian,desert,other,guardian and protective,protection of the desert,dunes,varied,"desert protection, guidance",,,,,,,
maya,ixchel,god,goddess of the moon and fertility,yucatan peninsula,female,nurturing and fertile,"moon, fertility","moon, rabbit",white,"moon, fertility",,,itzamná,,,,
maya,ixkik,god,goddess of chocolate,mesoamerica,female,sweet and tempting,"chocolate, pleasure","cacao pod, sweets",brown,"chocolate, pleasure",,,,,,,
maya,ixpiyacoc,god,creator god,mesoamerica,male,creator and artisan,"creation, craftsmanship",artisan tools,,"creation, craftsmanship",,,,,,,
sao,iyami osoronga,god,powerful and mysterious female deities associated with primordial forces,cosmos,other,mysterious and enigmatic,"primordial forces, feminine power",cauldron,black and red,"feminine power, primordial energy",,olodumare,,,various primordial deities,,
muisca,iyú,god,deity ,muisca confederation,other,deity,"water, rivers",river symbols,,"water, rivers",,,,,,,
shinto,izanagi,god,"creator god, husband of izanami",yomi-no-kuni,male,wise and creative,"creation, wisdom","spear, magatama",white,"creation, wisdom",married,,,izanami no mikoto,"many, including amaterasu",,
shinto,izanami,god,"creator goddess, wife of izanagi",yomi-no-kuni,female,gentle and nurturing,"creation, nurturing","mirror, magatama",white,"creation, nurturing",married,,,izanagi no mikoto,"many, including amaterasu",,
sami,jabme-áhkká,god,goddess of the herd and reindeer,sami lands,female,caring and vigilant,"reindeer, herding",reindeer,brown,"herding, care",,,,,"many, including reindeer spirits",,
korean,jacheongbi,god,goddess of birth and fertility,earth,female,nurturing and fertile,"birth, fertility",pregnant belly,green,"fertility, motherhood",,,,,,,
chinese,jade emperor,god,supreme deity,heaven,other,supreme ruler,supreme ruler,"flaming wheel, bagua","red, blue","transition, duality",married,wangmu,jade emperor,"xi wangmu,","many, including guanyin",,
taoist,jade emperor,god,supreme deity in taoism,sky,other,wise and benevolent,supreme ruler of the heavens,jade emperor's robe,jade,"wisdom, benevolence",married,,,queen mother of the west,"many, including nezha",,
vietnamese,jade emperor,god,supreme deity and ruler of heaven,celestial realm,other,wise and just,"universal rule, justice","jade crown, imperial robes",jade green,"justice, order",,,,,,,
roman,janus,god,god of beginnings and endings,italy,male,dual-faced and wise,"transition, doorways",two faces,gold and silver,"transition, duality",,,,,,,
xavante,jarará,god,god of the hunt,xavante territory,male,hunter deity,"hunting, forest, animal spirits","bow, arrows, forest symbols","green, brown","hunting skills, harmony with nature",,,,,animals,,
croatian,jarilo,god,"god of spring, fertility, and youth",croatia,male,youthful and vital,"spring, fertility, youth",green shoots,light green,"renewal, fertility",,,,,,,
guaraní,jasy jatere,spirit,forest spirit and protector of the yvoty (fruit),guaraní region,other,forest guardian,"forests, fruits, protector of children",forest symbols,"green, brown","protection of children, harmony with nature",,nhanderuvuçu,,,,,
karajá,javú,god,god of the hunt,karajá region,male,hunter deity,"hunting, forest, animal spirits","bow, arrows, forest symbols","green, brown","hunting skills, harmony with nature",,,,,animals,,
christian,jesus,human,"savior, messiah",judea,other,"son of god, savior","love, forgiveness","cross, lamb",white,"love, salvation",,mary,joseph,,,,
christian,jesus christ,god,"son of god, savior",earth,male,"redeemer, teacher","salvation, compassion","cross, lamb of god",red,"love, forgiveness",,virgin mary,god the father,,,,
indonesian,jin fin ho,god,"monkey god, trickster deity",borneo,male,playful and clever,"trickery, mischief","monkey, bananas",brown,"playfulness, trickery",,,,,,,
jewish,jophiel,spirit,archangel of beauty and art,heaven,other,guardian of divine beauty,"art, beauty, creativity",golden scepter,lavender,"appreciation, creativity",,,,,,,
korean,jujak,anthropomorphism,"vermilion bird, guardian of the south",south,other,elegant and resplendent,"protection, prosperity",phoenix wings,red,"protection, prosperity",,,,,,,
aboriginal,julana,god,sun goddess and creator of fire,sky,female,radiant and creative,"sun, fire","sun, fire",yellow,"creativity, illumination",,,,,various fire-related beings,,
korean,jumong,human,"founding king of goguryeo, heroic archer",goguryeo,other,heroic and skilled archer,"leadership, archery",bow and arrow,"red, black","heroism, archery",married,lady yuhwa,hwanung (sky god),yes,multiple,,
roman,juno,god,queen of the gods,mount olympus,male,maternal and regal,family and marriage,"peacock feather, diadem",peacock colors,"marriage, family",married,ops,saturn,jupiter,"mars, vulcan, bellona",,
sami,juoksahkka,spirit,female water spirit,sami lands,other,graceful and enchanting,"water, lakes",water lily,"blue, green","enchantment, gracefulness",,,,,spirits of water,,
roman,jupiter,god,king of the gods,mount olympus,male,mighty ruler,ruling,thunderbolt,"sky blue, white, gold","leadership, justice",married,ops,saturn,"many, including hera","many, including ares",,
tupinambá,jurupari,spirit,spirit of initiation and male fertility,tupinambá region,other,fertility spirit,"male initiation, fertility",phallic symbols,various,"male fertility, initiation",,,,,,,
croatian,jutrobog,god,god of dawn and new beginnings,croatia,male,hopeful and inspirational,"dawn, new beginnings",rising sun,gold,"hope, new beginnings",,,,,,,
sara,kaba,anthropomorphism,sacred forest with spiritual significance,sara homeland,other,sacred and mystical,"spiritual retreat, connection",forest,varied,"spiritual connection, sanctuary",,,,,,,
hopi,kachina,spirit, spirits or personifications of things in the real world,hopi mesas,other,human-like relationships,"nature, ancestors",kachina masks,,harmony,,,,,,,
polynesian,kahōtia,god,goddess of hawks and falcons,sky,female,swift and observant,"hawks, falcons","hawks, falcons",various,"agility, keen observation",,,,,various bird-related beings,,
hindu,kali,god,goddess of destruction and time,cosmic realm,female,destructive force,"destruction, time, change","severed heads, sword",black,"transformation, liberation, power",married,parvati,shiva,shiva,,,
xavante,kamaiurá,spirit,ancestor spirits and protectors,xavante territory,other,ancestral spirits,"ancestral guidance, protection",ancestral symbols,various,"ancestral connection, protection",,,,,,,
hawaiian,kamapua'a,god,"god of agriculture and wild pigs,  a shapeshifter who can transform into various forms, including that of a handsome man or a wild boar. ",agriculture,male,caring and wild,"agriculture, wild pigs, fertility, and water",pigs,various,agricultural abundance,married,,,pele,various agricultural beings,,
hawaiian,kamohoalii,god,shark god and brother of pele,oceans,male,protective and agile,"sharks, protection","shark, ocean motifs",blue,"protection, agility",,haumea,kane milohai,,"many, including shark spirits",,
hawaiian,kamohoali'i,god,god of sharks and protection,"oceans, seas",male,protective and swift,"sharks, protection",shark images,various,"protection, swiftness",,,,,various sea beings,,
ainu,kamuy fuchi,god,hearth goddess,ainu regions,female,goddess,"hearth, home","fire, hearth",,"hearth, home",,,,,,,
ainu,kamuy hokai,god,hunting,ainu,other,deity,hunting,,,hunting,,,,,,,
ainu,kamuy kotan,god,god of the village,ainu regions,male,god,"village, protection",village symbols,,"village, protection",,,,,,,
ainu,kamuy mosir,god,god of land,ainu,male,deity,land,,,god of land,,,,,,,
ainu,kamuy yukar,anthropomorphism,ainu sagas,ainu,other,object,ainu mosir,,,ainu sagas,,,,,,,
ainu,kamuy-huci,god,"goddess of the hearth, guardian of the home, and also the judge of domestic affairs",ainu,female,deity,"land, people teacher, keeper of the gateway between the world of humans and the world of kamuy","mountains, hearth fire ",,"goddess of the hearth, guardian of the home, and also the judge of domestic affairs",,the fire-producing drill ,,,,,
polynesian,kanaloa,god,god of the sea and underworld,"oceans, underworld",male,mysterious and tranquil,"sea, underworld, tranquility","ocean, underworld symbols","blue, black","tranquility, ocean mysteries",,,,,"many, including sea and underworld spirits",,
hawaiian,kanaloa,god,god of the sea and ocean,"oceans, seas",male,benevolent and protective,"sea, ocean",fish hook,blue,harmony with nature,,,,,various sea beings,,
cherokee,kananesgi,human,lucky hunter,cherokee nation,other,hero,hunting,,,luck,,,,,,,
hawaiian,kane,god,supreme creator god,sky,male,wise and all-powerful,"creation, wisdom",wooden images,white,"wisdom, divine creation",,,,,various cosmic beings,,
kayapo,kanhok,god,earth goddess and protector of nature,kayapó territory,female,earth guardian,"nature, forests, guardian of the environment","trees, earth symbols","green, brown","nature conservation, harmony with earth",,,,,,,
hindu,kartikeya,god,"god of war, associated with courage and strength",india,male,deity,"war, courage, strength","peacock, spear",red,"courage, strength",-,parvati,shiva,-,various deities,,
canaanite,kaus,god,god of archery,-,male,deity,"archery, hunting",-,-,archery and hunting,-,-,-,-,-,,
tuareg,kel essuf,spirit,warrior spirits protecting the tuareg people,desert,other,courageous and defending,warrior ethos,sword,varied,"courage, defense of the tribe",,,,,,,
tuareg,kel tamasheq,human,collective term for tuareg people,desert,other,resilient and nomadic,nomadic lifestyle,camel,varied,"nomadism, resilience",,,,,,,
guaraní,kerana,god,goddess of the moon and fertility,guaraní region,female,lunar deity,"moon, fertility, night","crescent moon, fertility symbols",silver,"fertility, feminine energy",married,angatupyry,karai,tupã (possible),ao ao (possible),,
mongolian,khan-dei,god,god of war,mongolian regions,male,god,war,weapons,red,war,,,,,,,
zoroastrian,khashm,god,god of metals and minerals,-,male,deity,"metals, minerals",-,-,"metals, minerals",-,-,-,-,various deities,,
egyptian,kherty,god,god of silence,egypt,male,god,"silence, death",mummy,,"silence, death",,,,,,,
egyptian,khnum,god,god of creation,egyptian,male,creator god,"creation, pottery","ram, potter's wheel",blue,"creation, pottery",,hathor,,,"anuket, satis",,
egyptian,khonsu,god,god of the moon and time,egypt,male,timekeeper and compassionate,"moon, time",crescent moon,silver,"time, protection, healing",,,amun-ra,,,,
persian,khosrow,god,god of the sun and light,persia,male,radiant and illuminating,"sun, light",sun disk,yellow,"illumination, light",,,,,,,
zoroastrian,khwarshēd,god,goddess of the sun,-,female,deity,sun,sun,-,sun,-,-,-,-,various deities,,
sumerian,ki (ninhursag),god,earth goddess,-,female,deity,"fertility, childbirth",mountain,-,"fertility, childbirth",-,-,-,-,various deities,,
sumerian,ki (ninhursag),god,earth goddess,earth,female,deity,"fertility, childbirth",mountain,-,"fertility, childbirth",-,-,-,-,various deities,,
sara,kifalme,spirit,"lion spirit, symbol of courage",sara homeland,other,courageous and fearless,"courage, bravery",lion,golden,"courage, bravery",,,,,,,
sara,kifaru,spirit,"rhino spirit, protector of the land",sara homeland,other,sturdy and protective,"land conservation, protection",rhino,grey,"environmental protection, stability",,,,,,,
tlingit,killer whale,spirit,sea spirit and symbol of family,tlingit nation,other,sea spirit,"sea, family, harmony",killer whale symbols,"black, white","family, harmony",,,,,,,
sara,kirdi,human,collective term for sara people,sara homeland,other,resilient and diverse,cultural diversity,drum,varied,unity in diversity,,,,,,,
nez perce,kisaru'lute,anthropomorphism,monster,nez perce region,other,monster,"chaos, destruction",monster,,monster,,,,,,,
sumerian,kishar,god,earth,sumer,other,goddess,earth,,,earth,,,,,,,
hopi,kokopelli,god,fertility deity,hopi mesas,other,deity,"fertility, music",humpbacked flute player,,fertility,,,,,,,
wabanaki,koluscap (glooscap),human,heroic transformer and protector of humanity,wabanaki confederacy,male,heroic transformer,"creation, heroism, protection","heroic symbols, sacred icons",various,"heroism, protection of humanity",,sky woman,,,various (including animals and humans),,
nez perce,koolkoolau,anthropomorphism,monster,nez perce region,other,monster,"chaos, destruction",monster,,monster,,,,,,,
kayapo,kôt,god,god of the sun,kayapó territory,male,solar deity,"sun, light, life","sun disk, radiant symbols","yellow, red","life, light",,,,,,,
canaanite,kothar-wa-khasis,god,craftsman god,-,male,deity,"crafts, skill, wisdom",-,-,skill and wisdom,-,-,-,-,various deities,,
albanian,kreshnik,human,hero,albanian regions,other,hero,heroism,weapons,,heroism,,,,,,,
hindu,krishna,god,supreme personality of godhead,"vrindavan, dwarka",male,charming and divine,"love, playfulness","flute, peacock feather",blue,"divine love, devotion",married,"devaki, yashoda",vasudeva,radha,various consorts,,
hawaiian,ku,god,god of war,land,male,fierce and warrior-like,"war, conflict","weapons, war clubs",red,"courage, strength, discipline",,,,,various war-related beings,,
buddhist,kuan yin,god,"compassion, mercy, associated with healing",east asia,other,bodhisattva,"compassion, healing",willow branch,white,"compassion, mercy, healing",-,-,-,-,various beings,,
buddhist,kuan yin (guanyin),god,bodhisattva of compassion,cosmic,other,compassionate being,"compassion, mercy","willow branch, vase",white,"compassion, mercy",,,,,,,
chinese,kui xing,god,god of examinations,heaven,male,scholarly and examining,"examinations, scholarship","brush, writing tools",green,"scholarship, success",,,,,,,
karajá,kuiumekô,god,goddess of the moon,karajá region,female,lunar deity,"moon, night, fertility","crescent moon, night symbols",silver,"fertility, femininity",,,,,,,
nenets,kujatai,god,god of the hunt and animals,nenets region,male,skilled and protectorate,"hunting, animal welfare","bow, reindeer","brown, green","respect for nature, skill in hunting",,,,,"many, including animal spirits",,
maya,kukulkan,god,feathered serpent god,mesoamerica,male,serpent and divine,"wind, agriculture",feathered serpent,"green, blue","wind, agriculture",,,,,,,
hittite,kumarbi,god,"god of earth and fertility, god of sky",earth,male,fertile and powerful,"earth, fertility","sheaf of wheat, plough","brown, green","fertility, abundance",,,,,"many, including ullikummi",,
shinto,kunitokotachi,god,primordial deity of the origin of the land,japan,other,earthly origin,"earth, origin, land",earth and mountain,brown,"land, creation, stability",,,,,various deities,,
slavic,kupala,god,god of the summer solstice and fertility,earth,male,joyful and fertile,"summer, fertility, celebration","wreath, flowers","green, gold","fertility, celebration",,mokosh,svarog,,,,
guaraní,kurupi,god,fertility god and protector of wild nature,guaraní region,male,fertility deity,"fertility, wild nature, guardian of the forest","phallic symbols, forest icons","green, brown","fertility, protection of nature",,nhanderuvuçu,,,,,
chukchi,kutkh,god,deity,chukchi regions,other,deity,"nature, trickery","bird, sea",,"nature, trickery",,,,,,,
sara,kwekwe,spirit,"guinea fowl spirit, symbol of abundance",sara homeland,other,abundant and alert,"abundance, fertility",guinea fowl,brown,"fertility, alertness",,,,,,,
caribbean,la diablesse,spirit,temptress and folkloric figure,trinidad and tobago,other,seductress,"temptation, folklore, mischief","elegant dress, concealed face",red,"folklore, temptation",,,,,,,
caribbean,la sirene,god,mermaid goddess of the sea,haiti,female,beautiful seductress,"sea, beauty, seduction","mermaid, mirror","blue, silver","beauty, seduction",married,,,agwe (possible),loa (possible),,
spanish,laberis,god,god of the lusitanian sun,lusitania,male,radiant and solar,"sun, radiance","sun, fire","gold, red","sun, radiance",,,,,,,
slavic,lada,god,goddess,slavic regions,female,goddess,"love, beauty","grain, flowers",white,"love, beauty",,,,,,,
sumerian,lahamu,god,war,sumer,other,goddess,war,,,war,,,,,,,
sumerian,lahmu,god,war,sumer,other,god,war,,,war,,,,,,,
mesopotamian,lahmu and lahamu,god,primordial deities of creation,mesopotamia,other,cosmic parents,"creation, primordial beings",,,"creation, primordial existence",,,,,various primordial beings,,
baltic,laima,god,goddess of fate and fortune,,female,wise and fateful,"fate, fortune","spindle, thread","white, blue","wisdom, fate",,baltic,baltic,,"many, including kārlis",,
hawaiian,laka,god,goddess,hawaii,female,goddess,"hula, forest",hula implements,green,goddess,,,,,,,
hindu,lakshmi,god,goddess of wealth,cosmic realm,female,"wealthy and benevolent,",wealth and prosperity,"lotus, veena","blue, white","wealth, prosperity,",married,lakshmi,vishnu,"parvati, lakshmi,","many, including hathor, anubis",,
hindu,lakshmi,god,"goddess of wealth, fortune, and prosperity",india,female,deity,"wealth, fortune, prosperity","lotus, elephant",gold,"wealth, prosperity",,durga,vishnu,-,various deities,,
berber,lamashtu,god,demon goddess causing harm to mothers,underworld,female,malevolent and destructive,"harm, nightmares, infant mortality",lion's head,black,protection against evil,,,,,various malevolent spirits,,
etruscan,laran,god,god of war and thunder,etruria,male,fierce and thunderous,"war, thunder",thunderbolt,red,"courage, strength, victory",,uni,tinia,,maris,,
spanish,latobius,god,god of the lusitanian sky,lusitania,male,celestial and airy,"sky, celestial","sun disk, clouds","blue, white","sky, celestial",,,,,,,
dahomey,legba,god,god of communication,,male,communicative and wise,"communication, wisdom","key, crossroads","red, white","communication, wisdom",,,,,,,
chinese,lei gong,god,god of thunder and lightning,heaven,male,powerful and vigilant,"thunder, lightning","drum, mallet",blue,"power, vigilance",,,,,,,
sami,leibolmai,god,fertility god,sami lands,male,fertile and generous,"fertility, abundance",phallus,green,"fertility, generosity",,,,,"many, including plant spirits",,
